X0,Y0,X1,Y1,X2,Y2
27.282,0.32526,27.2822,0.62423,27.2822,1.92618
27.351,0.95517,27.3511,0.84758,27.3511,1.97107
27.420,1.57310,27.4200,0.66650,27.4200,2.22029
27.489,2.43632,27.4889,1.01455,27.4889,1.92643
27.558,2.15156,27.5578,1.05931,27.5578,1.95471
27.627,2.27911,27.6267,0.99715,27.6267,2.07505
27.696,1.83088,27.6956,0.81523,27.6956,1.45936
27.764,1.98274,27.7645,0.64859,27.7645,1.01429
27.833,1.68919,27.8334,1.07939,27.8334,0.78880
27.902,1.49777,27.9023,1.01910,27.9023,1.22200
27.971,1.76155,27.9712,1.03493,27.9712,0.94804
28.040,1.95047,28.0401,0.77993,28.0401,1.06446
28.109,2.34567,28.1090,0.82851,28.1090,1.46979
28.178,2.58567,28.1779,0.72183,28.1779,1.84088
28.247,2.27892,28.2467,1.06435,28.2467,2.24171
28.316,1.90581,28.3156,1.20888,28.3156,2.00702
28.385,2.02261,28.3845,1.20854,28.3845,2.45167
28.453,2.05563,28.4534,0.79619,28.4534,1.80399
28.522,1.43830,28.5223,0.97693,28.5223,1.99619
28.591,0.81075,28.5912,0.90756,28.5912,2.20056
28.660,0.88279,28.6601,1.18567,28.6601,2.51797
28.729,1.82554,28.7290,1.40587,28.7290,2.14688
28.798,1.42283,28.7979,2.33157,28.7979,1.94157
28.867,1.19839,28.8668,2.01485,28.8668,1.55770
28.936,0.74595,28.9357,2.07195,28.9357,1.79400
29.005,1.00782,29.0046,2.26935,29.0046,1.41219
29.073,1.48319,29.0735,2.01460,29.0735,1.17249
29.142,1.19211,29.1424,1.77227,29.1424,0.87066
29.211,1.44001,29.2113,1.47395,29.2113,0.68133
29.280,1.76387,29.2802,1.75226,29.2802,1.93475
29.349,1.72864,29.3491,1.28848,29.3491,1.65531
29.418,2.30900,29.4180,1.26210,29.4180,2.19734
29.487,1.99718,29.4868,1.00348,29.4868,1.80264
29.556,2.36198,29.5557,1.35886,29.5557,2.02573
29.625,1.57218,29.6246,1.25546,29.6246,1.76322
29.694,2.16880,29.6935,1.36789,29.6935,1.73907
29.762,2.79781,29.7624,1.83803,29.7624,1.59008
29.831,1.36108,29.8313,1.98480,29.8313,1.76177
29.900,1.93252,29.9002,1.87701,29.9002,1.78620
29.969,3.01998,29.9691,1.75436,29.9691,1.83631
30.038,3.40047,30.0380,2.36497,30.0380,1.35452
30.107,2.41175,30.1069,3.36706,30.1069,1.20897
30.176,1.92797,30.1758,3.69625,30.1758,1.50015
30.245,1.86324,30.2447,3.92305,30.2447,1.77107
30.314,1.64480,30.3136,3.06002,30.3136,2.26751
30.382,1.84603,30.3825,3.28798,30.3825,2.39159
30.451,2.08471,30.4514,3.24260,30.4514,1.93505
30.520,2.36191,30.5203,2.07605,30.5203,2.78969
30.589,1.67698,30.5892,2.20208,30.5892,2.90200
30.658,1.19979,30.6581,2.05617,30.6581,2.69041
30.727,0.99616,30.7269,1.71268,30.7269,3.03871
30.796,1.11200,30.7958,1.66985,30.7958,3.44568
30.865,2.11037,30.8647,2.46636,30.8647,3.82412
30.934,2.07376,30.9336,1.64287,30.9336,3.85618
31.003,1.36030,31.0025,1.70990,31.0025,4.09986
31.071,1.03638,31.0714,2.10481,31.0714,3.94345
31.140,1.44133,31.1403,1.68340,31.1403,3.54969
31.209,1.21784,31.2092,1.17105,31.2092,2.75925
31.278,0.81428,31.2781,1.48007,31.2781,2.25755
31.347,1.16368,31.3470,1.74113,31.3470,2.00615
31.416,1.06907,31.4159,2.78201,31.4159,2.00853
31.485,1.38486,31.4848,2.41363,31.4848,2.31952
31.554,1.98091,31.5537,1.98247,31.5537,1.62897
31.623,2.09845,31.6226,2.29675,31.6226,1.08704
31.691,2.55445,31.6915,3.16421,31.6915,0.84424
31.760,2.55911,31.7604,4.38880,31.7604,0.54825
31.829,2.32468,31.8293,4.57615,31.8293,1.10365
31.898,1.14837,31.8982,4.84511,31.8982,1.35574
31.967,1.40471,31.9670,3.56032,31.9670,1.37470
32.036,1.56192,32.0359,3.89056,32.0359,1.02329
32.105,0.92474,32.1048,4.25842,32.1048,1.01502
32.174,1.09319,32.1737,4.97184,32.1737,1.00288
32.243,1.37146,32.2426,4.19824,32.2426,0.60665
32.312,1.41426,32.3115,2.40440,32.3115,0.96746
32.380,3.47934,32.3804,2.04893,32.3804,1.07062
32.449,3.87716,32.4493,1.17184,32.4493,1.25601
32.518,4.02531,32.5182,1.08490,32.5182,1.82248
32.587,4.47138,32.5871,1.26893,32.5871,1.73104
32.656,3.65303,32.6560,1.16968,32.6560,2.36853
32.725,3.17017,32.7249,1.06222,32.7249,1.91604
32.794,2.59037,32.7938,1.69724,32.7938,2.00619
32.863,2.62267,32.8627,1.42564,32.8627,1.75999
