X0,Y0,X1,Y1,X2,Y2
24.182,6.5347,24.1820,7.7332,24.1820,1.8806
24.251,5.0017,24.2509,9.4086,24.2509,2.0259
24.320,5.3318,24.3198,11.4546,24.3198,1.4851
24.389,4.5033,24.3887,11.4666,24.3887,1.2301
24.458,4.1498,24.4575,13.7558,24.4575,0.7674
24.526,3.4377,24.5264,15.3895,24.5264,1.1798
24.595,2.4135,24.5953,17.4000,24.5953,1.7743
24.664,1.6396,24.6642,17.6890,24.6642,2.8400
24.733,1.0832,24.7331,12.9594,24.7331,2.4506
24.802,2.1285,24.8020,9.3317,24.8020,3.2343
24.871,4.4283,24.8709,7.5040,24.8709,8.9320
24.940,7.3769,24.9398,7.3751,24.9398,14.3473
25.009,8.3643,25.0087,5.8389,25.0087,19.5346
25.078,7.3580,25.0776,6.1865,25.0776,21.9707
25.146,5.6751,25.1465,3.9834,25.1465,16.2595
25.215,2.8864,25.2154,5.2323,25.2154,10.7985
25.284,2.0574,25.2843,5.2907,25.2843,9.1785
25.353,2.3714,25.3532,5.7137,25.3532,8.4280
25.422,3.6277,25.4221,5.0681,25.4221,11.0063
25.491,3.0288,25.4910,4.9753,25.4910,12.7617
25.560,3.3387,25.5599,8.3188,25.5599,12.9390
25.629,6.1326,25.6288,11.4473,25.6288,12.0883
25.698,10.1622,25.6976,12.5764,25.6976,14.6927
25.767,14.0015,25.7665,11.4340,25.7665,16.2547
25.835,11.5689,25.8354,10.9215,25.8354,15.2875
25.904,8.1590,25.9043,10.7869,25.9043,19.5532
25.973,7.0183,25.9732,11.1365,25.9732,24.9347
26.042,7.9065,26.0421,13.5821,26.0421,31.0716
26.111,7.9892,26.1110,13.0029,26.1110,24.4673
26.180,5.7582,26.1799,16.4156,26.1799,17.3008
26.249,4.9246,26.2488,16.6995,26.2488,17.1657
26.318,6.1663,26.3177,14.4986,26.3177,16.2633
26.387,7.4230,26.3866,8.8076,26.3866,19.7818
26.455,8.8611,26.4555,5.0847,26.4555,18.5689
26.524,6.2040,26.5244,3.6502,26.5244,14.6087
26.593,5.1084,26.5933,2.1035,26.5933,9.6216
26.662,5.5298,26.6622,3.1405,26.6622,10.4288
26.731,8.4352,26.7311,2.5018,26.7311,9.2984
26.800,10.7118,26.8000,3.0295,26.8000,6.6076
26.869,13.4506,26.8689,3.5899,26.8689,8.8881
26.938,16.6722,26.9377,4.3558,26.9377,10.9876
27.007,19.2876,27.0066,3.6839,27.0066,12.2631
27.076,17.0369,27.0755,5.3676,27.0755,15.0513
27.144,15.6030,27.1444,4.6478,27.1444,13.5784
27.213,11.1230,27.2133,3.1000,27.2133,10.5956
27.282,7.8202,27.2822,1.7262,27.2822,11.4686
27.351,7.5814,27.3511,0.8451,27.3511,10.1575
27.420,7.6425,27.4200,0.6359,27.4200,7.4756
27.489,11.8685,27.4889,1.8522,27.4889,7.0322
27.558,12.3364,27.5578,0.7718,27.5578,5.6417
27.627,14.1286,27.6267,1.4072,27.6267,4.2609
27.696,13.0478,27.6956,0.3814,27.6956,2.9869
27.764,9.0035,27.7645,0.8188,27.7645,2.7163
27.833,8.7489,27.8334,0.5605,27.8334,3.9760
27.902,9.1554,27.9023,2.1070,27.9023,2.6323
27.971,10.0942,27.9712,2.0411,27.9712,3.0610
28.040,13.4516,28.0401,2.4713,28.0401,2.5861
28.109,11.7187,28.1090,2.9512,28.1090,1.5469
28.178,11.0208,28.1779,2.8618,28.1779,2.5507
28.247,11.7617,28.2467,2.7686,28.2467,2.1789
28.316,13.4474,28.3156,2.3675,28.3156,2.7062
28.385,12.7024,28.3845,1.9603,28.3845,4.1528
28.453,11.2519,28.4534,2.4601,28.4534,5.8235
28.522,9.1754,28.5223,1.0687,28.5223,7.7185
28.591,7.0858,28.5912,0.8000,28.5912,8.7795
28.660,6.4965,28.6601,2.1297,28.6601,7.8068
28.729,8.3899,28.7290,1.7320,28.7290,7.7049
28.798,7.9456,28.7979,1.6081,28.7979,9.7199
28.867,12.1220,28.8668,1.9210,28.8668,11.6367
28.936,18.6483,28.9357,2.9465,28.9357,7.4280
29.005,18.7011,29.0046,4.3294,29.0046,3.7173
29.073,16.6058,29.0735,5.0514,29.0735,2.9205
29.142,15.1927,29.1424,5.1591,29.1424,3.8363
29.211,16.3687,29.2113,3.0239,29.2113,4.8924
29.280,18.8244,29.2802,1.8048,29.2802,6.2880
29.349,23.5266,29.3491,2.0673,29.3491,6.5532
29.418,21.9213,29.4180,2.8891,29.4180,6.8157
29.487,16.1830,29.4868,1.8384,29.4868,6.1379
29.556,12.0759,29.5557,1.2686,29.5557,5.2024
29.625,11.1028,29.6246,1.4998,29.6246,5.0031
29.694,11.4857,29.6935,3.3793,29.6935,5.9999
29.762,12.9326,29.7624,4.6508,29.7624,6.4576
29.831,16.4344,29.8313,6.4557,29.8313,5.8679
29.900,20.9114,29.9002,10.4441,29.9002,5.8083
29.969,24.7788,29.9691,16.9848,29.9691,5.3580
30.038,22.1923,30.0380,27.1731,30.0380,5.6493
30.107,14.9093,30.1069,38.1572,30.1069,6.6604
30.176,10.8733,30.1758,44.0434,30.1758,5.2854
30.245,8.5500,30.2447,36.6255,30.2447,3.7588
30.314,12.1729,30.3136,26.9865,30.3136,2.5547
30.382,16.1971,30.3825,21.2073,30.3825,4.8250
30.451,17.7387,30.4514,21.3967,30.4514,7.0655
30.520,14.9817,30.5203,20.4640,30.5203,11.7447
30.589,12.7109,30.5892,15.2223,30.5892,16.6800
30.658,7.8365,30.6581,9.2189,30.6581,16.9756
30.727,5.1801,30.7269,7.9802,30.7269,16.4945
30.796,4.9990,30.7958,9.8462,30.7958,15.9116
30.865,6.8944,30.8647,11.6594,30.8647,14.0745
30.934,8.2228,30.9336,9.7405,30.9336,16.1302
31.003,8.0102,31.0025,6.1049,31.0025,12.6604
31.071,8.9028,31.0714,3.1859,31.0714,9.9711
31.140,6.2749,31.1403,3.7321,31.1403,10.0519
31.209,4.7830,31.2092,4.6016,31.2092,10.2212
31.278,7.0997,31.2781,3.6432,31.2781,8.9078
31.347,11.8658,31.3470,3.4880,31.3470,7.9903
31.416,15.1820,31.4159,5.3405,31.4159,6.7997
31.485,14.4505,31.4848,9.2908,31.4848,5.8459
31.554,10.2739,31.5537,18.5405,31.5537,3.5822
31.623,10.9630,31.6226,30.8109,31.6226,3.1482
31.691,10.8404,31.6915,40.1560,31.6915,2.2824
31.760,11.8823,31.7604,37.0120,31.7604,2.2949
31.829,13.9659,31.8293,26.9728,31.8293,2.5458
31.898,16.0929,31.8982,20.4979,31.8982,2.6325
31.967,14.7819,31.9670,22.0800,31.9670,2.0919
32.036,10.5759,32.0359,21.7313,32.0359,3.3968
32.105,9.2485,32.1048,26.4859,32.1048,4.7481
32.174,9.2400,32.1737,28.4844,32.1737,4.8832
32.243,12.4003,32.2426,21.7060,32.2426,3.0893
32.312,18.5182,32.3115,12.5012,32.3115,4.0001
32.380,23.7032,32.3804,6.7020,32.3804,4.5086
32.449,25.7451,32.4493,5.4669,32.4493,4.9505
32.518,25.0378,32.5182,4.2258,32.5182,6.4394
