,position (um),Fat2dICD intensity,Abi intensity
726,50.0174,16.758,3.028
727,50.0863,19.239,3.4199
728,50.1552,25.525,3.3927
729,50.2241,27.651,3.5983
730,50.293,29.345,3.8488
731,50.3619,30.994,3.1345
732,50.4308,37.487,3.8154
733,50.4997,42.603,6.041
734,50.5686,49.832,6.6593
735,50.6375,55.802,7.0813
736,50.7063,53.331,6.0325
737,50.7752,43.704,5.2509
738,50.8441,37.303,5.1335
739,50.913,36.878,4.986
740,50.9819,38.042,4.5031
741,51.0508,45.954,4.9174
742,51.1197,50.261,5.5745
743,51.1886,48.877,5.5704
744,51.2575,41.311,5.3967
745,51.3264,32.898,3.772
746,51.3953,22.821,2.8269
747,51.4642,21.137,2.5171
748,51.5331,18.693,2.3732
749,51.602,13.185,1.0216
750,51.6709,10.943,1.2724
751,51.7398,7.644,1.4704
752,51.8087,7.376,1.5968
753,51.8776,7.506,1.0676
754,51.9464,6.721,0.5963
755,52.0153,6.51,1.0314
756,52.0842,6.782,1.0415
757,52.1531,6.528,1.1136
758,52.222,6.082,0.3947
759,52.2909,5.578,0.8744
760,52.3598,7.711,1.0893
761,52.4287,8.278,1.7485
762,52.4976,8.239,1.8863
763,52.5665,7.749,1.4518
764,52.6354,9.702,2.4645
765,52.7043,8.982,2.5648
766,52.7732,8.386,1.9118
767,52.8421,8.797,1.7373
768,52.911,12.732,1.9319
769,52.9799,17.276,2.3361
770,53.0488,21.581,2.2393
771,53.1177,19.966,2.6258
772,53.1866,17.409,2.4361
773,53.2554,12.984,2.4843
774,53.3243,10.835,2.9671
775,53.3932,13.484,2.764
776,53.4621,10.241,2.5424
777,53.531,11.776,2.8082
778,53.5999,12.371,3.3119
779,53.6688,14.087,3.551
780,53.7377,10.544,3.2023
781,53.8066,9.906,2.637
782,53.8755,13.994,2.3526
783,53.9444,20.139,1.9389
784,54.0133,22.871,2.2842
785,54.0822,31.432,2.5372
786,54.1511,36.865,3.2058
787,54.22,34.434,3.4122
788,54.2889,30.767,3.3477
789,54.3578,33.482,2.4821
790,54.4267,28.275,2.4185
791,54.4955,21.138,2.4708
792,54.5644,15.184,1.8777
793,54.6333,13.385,1.8872
794,54.7022,10.629,1.7435
795,54.7711,12.453,1.9985
796,54.84,15.215,1.8659
797,54.9089,13.382,2.4868
798,54.9778,10.54,2.7366
799,55.0467,11.431,2.1881
800,55.1156,10.865,1.851
801,55.1845,11.622,2.9931
802,55.2534,11.029,3.1888
803,55.3223,10.743,2.2391
804,55.3912,10.373,3.3526
805,55.4601,10.364,2.3631
806,55.529,15.096,3.1841
807,55.5979,16.473,3.4705
808,55.6668,19.443,3.4767
809,55.7356,20.904,3.8719
810,55.8045,23.799,4.69
811,55.8734,26.13,4.2932
812,55.9423,25.828,4.6925
813,56.0112,29.148,4.9598
814,56.0801,28.61,5.956
815,56.149,30.252,5.5796
816,56.2179,44.027,6.2099
817,56.2868,54.525,7.6161
818,56.3557,71.017,8.7443
819,56.4246,97.239,11.0664
820,56.4935,126.076,16.5656
821,56.5624,136.27,17.0582
822,56.6313,110.989,13.3817
823,56.7002,58.715,10.5042
824,56.7691,46.659,10.1779
825,56.838,58.837,11.6325
826,56.9069,55.719,11.7059
827,56.9757,45.371,10.174
828,57.0446,36.673,8.0177
829,57.1135,29.688,7.0651
830,57.1824,24.529,5.4471
831,57.2513,22.998,3.9587
832,57.3202,20.079,4.3265
833,57.3891,13.995,3.624
834,57.458,11.787,2.8885
835,57.5269,12.347,3.3578
836,57.5958,10.349,2.4013
837,57.6647,11.627,2.0922
838,57.7336,14.175,2.2376
839,57.8025,17.122,2.2695
840,57.8714,14.972,3.2572
841,57.9403,13.241,2.5918
842,58.0092,11.298,3.0348
843,58.0781,9.839,2.9417
844,58.147,7.306,2.6872
845,58.2159,6.9,3.0467
846,58.2847,8.171,2.8632
847,58.3536,12.939,2.6267
848,58.4225,18.202,3.0022
849,58.4914,24.385,3.16
850,58.5603,26.263,3.7725
851,58.6292,27.509,3.6447
852,58.6981,19.57,3.2588
853,58.767,14.478,1.6621
854,58.8359,14.118,2.2446
855,58.9048,19.508,1.8822
856,58.9737,26.484,2.1588
857,59.0426,31.749,2.8491
858,59.1115,32.588,3.044
859,59.1804,29.303,2.8072
860,59.2493,28.833,2.3193
861,59.3182,27.055,3.4482
862,59.3871,28.824,3.4227
863,59.456,33.273,4.312
864,59.5248,39.473,4.6749
865,59.5937,53.622,5.4714
866,59.6626,72.728,6.0772
867,59.7315,88.447,8.5495
868,59.8004,97.501,8.5481
869,59.8693,93.652,10.4313
870,59.9382,84.686,10.2355
871,60.0071,68.678,11.1811
872,60.076,52.777,8.961
873,60.1449,54.36,9.3028
874,60.2138,48.956,7.7028
875,60.2827,41.301,6.724
876,60.3516,31.139,5.9576
877,60.4205,23.62,5.1117
