,position (um),Fat2 intensity,Abi intensity
571,39.3388,21.9839,2.32058
572,39.4077,29.0789,3.66625
573,39.4765,31.6273,4.87441
574,39.5454,20.8262,5.5058
575,39.6143,11.5855,4.7109
576,39.6832,10.1883,3.45038
577,39.7521,13.6879,2.74219
578,39.821,19.3254,2.15318
579,39.8899,21.4421,2.5904
580,39.9588,23.6674,2.46457
581,40.0277,26.5828,2.10273
582,40.0966,25.5569,2.501
583,40.1655,20.9766,3.25294
584,40.2344,13.6966,3.29732
585,40.3033,10.2377,2.88662
586,40.3722,8.7072,2.90672
587,40.4411,8.6382,2.374
588,40.51,5.3525,1.89057
589,40.5789,3.8469,2.41371
590,40.6478,4.857,2.24927
591,40.7166,7.384,2.71412
592,40.7855,6.2243,2.3738
593,40.8544,7.2433,2.09387
594,40.9233,9.421,2.48374
595,40.9922,13.8788,2.41122
596,41.0611,20.3754,2.33288
597,41.13,30.7042,1.86839
598,41.1989,28.7725,2.69504
599,41.2678,28.7775,2.54519
600,41.3367,19.8883,2.74261
601,41.4056,13.2596,2.3733
602,41.4745,9.2746,2.53673
603,41.5434,9.3771,2.38405
604,41.6123,9.5642,2.29845
605,41.6812,9.4332,2.63176
606,41.7501,10.816,2.9759
607,41.819,13.2629,3.31362
608,41.8879,12.2019,2.7778
609,41.9567,12.1255,2.67388
610,42.0256,9.9583,2.40435
611,42.0945,11.2559,1.65452
612,42.1634,11.3999,1.12415
613,42.2323,9.0876,1.71212
614,42.3012,9.4325,2.18081
615,42.3701,13.4747,2.78642
616,42.439,18.9485,1.9924
617,42.5079,19.5137,2.26499
618,42.5768,22.9874,2.51016
619,42.6457,23.1642,2.18723
620,42.7146,24.8197,2.01034
621,42.7835,24.7445,2.393
622,42.8524,27.0264,2.30218
623,42.9213,22.4947,1.80419
624,42.9902,18.4142,1.86999
625,43.0591,17.4563,2.7067
626,43.128,22.9057,2.28452
627,43.1968,27.762,2.47599
628,43.2657,37.2202,3.41138
629,43.3346,43.578,4.31183
630,43.4035,40.6702,4.75934
631,43.4724,32.9258,4.84195
632,43.5413,20.7724,3.98202
633,43.6102,15.2089,2.64321
634,43.6791,6.6808,1.79006
635,43.748,4.5014,1.91647
636,43.8169,3.808,1.2918
637,43.8858,3.3095,1.12089
638,43.9547,2.9387,0.61078
639,44.0236,1.7008,0.69294
640,44.0925,4.0447,0.99246
641,44.1614,7.1168,0.68665
642,44.2303,8.0213,0.5761
643,44.2992,11.0157,1.02461
644,44.3681,9.802,0.77496
645,44.437,9.3781,0.71429
646,44.5058,6.6903,1.44551
647,44.5747,4.93,0.98824
648,44.6436,4.8099,1.06885
649,44.7125,5.0505,1.0111
650,44.7814,5.327,1.04861
651,44.8503,9.975,1.11989
652,44.9192,13.5479,0.55903
653,44.9881,13.1887,0.88739
654,45.057,10.4124,0.99604
655,45.1259,6.5763,1.65054
656,45.1948,3.2037,2.07868
657,45.2637,2.7316,1.25508
658,45.3326,2.6287,0.87246
659,45.4015,2.4282,0.7383
660,45.4704,2.7183,1.01094
661,45.5393,2.2465,1.68268
662,45.6082,3.1136,1.2087
663,45.6771,5.2455,1.96609
664,45.7459,8.0766,1.70463
665,45.8148,10.5001,1.86362
666,45.8837,10.4578,1.93027
667,45.9526,7.0661,1.30364
668,46.0215,5.5755,1.45139
669,46.0904,4.2527,1.34287
670,46.1593,4.8015,1.92696
671,46.2282,5.4625,1.75365
672,46.2971,8.4122,1.82389
673,46.366,7.9731,1.33031
674,46.4349,6.5652,1.47673
675,46.5038,5.8661,1.74298
676,46.5727,6.6539,1.71813
677,46.6416,8.9511,2.29903
678,46.7105,11.9256,2.11275
679,46.7794,13.9122,2.66431
680,46.8483,15.934,3.40272
681,46.9172,14.8072,3.27504
682,46.986,15.8976,3.4339
683,47.0549,13.7151,2.51542
684,47.1238,15.76,2.11316
685,47.1927,15.197,2.02645
686,47.2616,13.694,2.1521
687,47.3305,11.3461,1.65806
688,47.3994,10.1077,1.68415
689,47.4683,7.1695,0.9555
690,47.5372,7.7873,1.42706
691,47.6061,7.5199,1.47142
692,47.675,10.2203,0.77992
693,47.7439,8.2277,1.69755
694,47.8128,9.3546,1.4668
695,47.8817,7.4345,1.6439
696,47.9506,7.5556,0.98288
697,48.0195,8.335,1.05261
698,48.0884,14.3347,2.335
699,48.1573,14.2025,1.79818
700,48.2262,11.6584,2.11107
701,48.295,9.4483,1.79148
702,48.3639,6.7389,1.20658
703,48.4328,3.9855,0.97926
704,48.5017,4.0238,1.01413
705,48.5706,4.0667,1.01188
706,48.6395,5.0636,1.13892
707,48.7084,7.5479,1.22317
708,48.7773,9.2908,1.0444
709,48.8462,9.7506,2.07873
710,48.9151,12.5304,1.81976
711,48.984,11.0149,1.78136
712,49.0529,11.8888,1.48254
713,49.1218,10.3909,2.31071
714,49.1907,7.8383,2.55573
715,49.2596,5.0894,3.42433
716,49.3285,5.1908,1.70209
717,49.3974,3.6505,1.96069
718,49.4663,2.1506,1.69336
719,49.5351,1.8843,2.12382
720,49.604,1.3736,2.19467
721,49.6729,2.8306,1.72585
722,49.7418,3.7722,1.52894
723,49.8107,4.9747,1.77412
724,49.8796,7.8441,2.34682
725,49.9485,13.2211,3.2324
726,50.0174,17.898,3.57243
727,50.0863,24.1793,5.27197
728,50.1552,36.1538,5.91413
729,50.2241,52.6161,5.75517
730,50.293,61.3286,6.00143
731,50.3619,62.6613,8.42861
732,50.4308,51.2751,6.67518
733,50.4997,40.1938,5.46383
734,50.5686,37.6171,4.57448
735,50.6375,34.1913,5.06456
736,50.7064,34.2443,5.6805
737,50.7752,37.1315,6.49223
738,50.8441,27.4668,5.29327
739,50.913,22.2957,5.40316
740,50.9819,19.5006,3.45576
741,51.0508,17.2467,4.08821
742,51.1197,20.6609,4.19225
743,51.1886,24.3598,3.8036
744,51.2575,23.7777,4.15402
745,51.3264,21.2328,3.76381
746,51.3953,15.305,3.20288
747,51.4642,17.7615,2.63874
748,51.5331,20.7129,2.45142
749,51.602,15.706,1.53881
750,51.6709,13.6252,1.00262
751,51.7398,12.959,1.80905
752,51.8087,12.7792,1.53725
753,51.8776,7.9996,1.49407
754,51.9465,8.4482,1.63124
755,52.0153,9.5373,2.02408
756,52.0842,5.3848,1.55727
757,52.1531,4.6254,2.47279
758,52.222,3.0058,1.93751
759,52.2909,4.0305,2.20966
760,52.3598,2.393,2.54127
761,52.4287,4.7582,2.71664
762,52.4976,8.0957,3.2914
763,52.5665,14.0309,3.91342
764,52.6354,13.6073,2.89939
765,52.7043,9.1499,2.97485
766,52.7732,3.8754,3.08873
767,52.8421,1.5918,2.85163
768,52.911,2.6081,2.77875
769,52.9799,4.2432,3.02635
770,53.0488,5.2299,2.90173
771,53.1177,6.2372,2.70434
772,53.1866,7.4744,2.53188
773,53.2554,7.9775,2.53398
774,53.3243,10.1697,1.44702
775,53.3932,8.3839,1.66156
776,53.4621,6.8363,2.03999
777,53.531,6.9235,1.94974
778,53.5999,11.3969,1.94262
779,53.6688,15.2384,2.94192
780,53.7377,19.4756,3.49397
781,53.8066,18.706,3.47317
782,53.8755,15.8416,2.91385
783,53.9444,11.0747,2.35208
784,54.0133,7.9287,2.08844
785,54.0822,7.2226,1.32243
786,54.1511,5.7214,1.9143
787,54.22,4.0429,1.5913
788,54.2889,4.2297,1.51161
789,54.3578,4.672,2.13114
790,54.4267,4.4338,1.54077
791,54.4955,6.3996,1.75471
792,54.5644,5.0808,1.87467
793,54.6333,6.4493,1.90896
794,54.7022,6.6661,1.60025
795,54.7711,6.2828,0.97476
796,54.84,11.5698,1.35086
797,54.9089,19.4235,1.41112
798,54.9778,33.658,2.60574
799,55.0467,44.7106,3.83024
800,55.1156,45.3269,4.42417
801,55.1845,36.9424,5.83851
802,55.2534,28.4954,5.5602
803,55.3223,26.32,5.228
804,55.3912,29.2677,5.23778
805,55.4601,33.2471,4.77292
806,55.529,33.1112,4.03881
807,55.5979,28.2793,4.07703
808,55.6668,26.3695,4.04901
809,55.7356,23.9046,3.54542
