X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
10.6098,1.37408,10.6098,0.44362,10.6098,1.46314,10.6098,1.51167,,,,,10.6098,1.00105,10.6098,3.86119,10.6098,1.71470
10.6786,1.02607,10.6786,0.79370,10.6786,1.71860,10.6786,1.00969,,,,,10.6786,0.99415,10.6786,2.77497,10.6786,1.23327
10.7475,1.23751,10.7475,1.00883,10.7475,2.27085,10.7475,1.56307,,,,,10.7475,0.85873,10.7475,2.67521,10.7475,0.79137
10.8164,1.16188,10.8164,0.85436,10.8164,2.27717,10.8164,1.63974,,,,,10.8164,1.26816,10.8164,1.78339,10.8164,1.00450
10.8853,0.94742,10.8853,0.86824,10.8853,3.49690,10.8853,1.71855,,,,,10.8853,1.04136,10.8853,1.88126,10.8853,1.02261
10.9542,1.16106,10.9542,0.87052,10.9542,2.11030,10.9542,2.86028,,,,,10.9542,1.09205,10.9542,1.71893,10.9542,1.70082
11.0231,0.71807,11.0231,1.31347,11.0231,1.57037,11.0231,3.04298,,,,,11.0231,1.18917,11.0231,1.53887,11.0231,1.26496
11.0920,0.99094,11.0920,1.47211,11.0920,1.12253,11.0920,1.87544,,,,,11.0920,1.01604,11.0920,1.63314,11.0920,1.06800
11.1609,1.15822,11.1609,2.22323,11.1609,0.93249,11.1609,1.80803,,,,,11.1609,0.68320,11.1609,1.63479,11.1609,1.33909
11.2298,1.17041,11.2298,2.46397,11.2298,1.39601,11.2298,2.20730,,,,,11.2298,1.42324,11.2298,1.95830,11.2298,2.17480
11.2987,1.20338,11.2987,1.88109,11.2987,1.58784,11.2987,2.57528,,,,,11.2987,0.97573,11.2987,1.65515,11.2987,2.25773
11.3676,1.22961,11.3676,1.86577,11.3676,1.33724,11.3676,2.89117,,,,,11.3676,0.98152,11.3676,1.10030,11.3676,2.79737
11.4365,1.90363,11.4365,1.08848,11.4365,1.01524,11.4365,2.85309,,,,,11.4365,1.22476,11.4365,1.51556,11.4365,2.11014
11.5054,2.80712,11.5054,1.36801,11.5054,0.93239,11.5054,4.04604,,,,,11.5054,1.53393,11.5054,1.07418,11.5054,2.15164
11.5743,3.81892,11.5743,2.24456,11.5743,1.16023,11.5743,2.02277,,,,,11.5743,1.19473,11.5743,0.93811,11.5743,2.54232
