X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
10.1275,16.0023,10.1275,1.9889,10.1275,6.0750,10.1275,1.3302,,,,,10.1275,18.2205,10.1275,16.4230,10.1275,35.4738
10.1964,9.6305,10.1964,0.8693,10.1964,6.0586,10.1964,1.7162,,,,,10.1964,13.4596,10.1964,15.5424,10.1964,41.1505
10.2653,8.2994,10.2653,0.6542,10.2653,4.1474,10.2653,2.3588,,,,,10.2653,9.4282,10.2653,14.9285,10.2653,37.6815
10.3342,7.7144,10.3342,1.4223,10.3342,2.3695,10.3342,3.6281,,,,,10.3342,8.6905,10.3342,17.4660,10.3342,31.7962
10.4031,5.8059,10.4031,1.3704,10.4031,2.6369,10.4031,4.1649,,,,,10.4031,7.0776,10.4031,19.5548,10.4031,25.6584
10.4720,6.5877,10.4720,1.0065,10.4720,1.4372,10.4720,3.1488,,,,,10.4720,6.0374,10.4720,27.2080,10.4720,22.9229
10.5409,8.1672,10.5409,3.1392,10.5409,0.8147,10.5409,3.1247,,,,,10.5409,4.9153,10.5409,25.5313,10.5409,17.0402
10.6098,7.6414,10.6098,4.7589,10.6098,1.8492,10.6098,2.8430,,,,,10.6098,4.7956,10.6098,19.5645,10.6098,10.5755
10.6786,8.4088,10.6786,7.4643,10.6786,2.8233,10.6786,4.9618,,,,,10.6786,5.5987,10.6786,12.7416,10.6786,7.8831
10.7475,7.3663,10.7475,10.9297,10.7475,4.6874,10.7475,7.8535,,,,,10.7475,3.0969,10.7475,9.4517,10.7475,8.3360
10.8164,5.3131,10.8164,11.0448,10.8164,6.2326,10.8164,10.7509,,,,,10.8164,3.0100,10.8164,6.8202,10.8164,10.2761
10.8853,5.0177,10.8853,9.4753,10.8853,5.9652,10.8853,13.5477,,,,,10.8853,1.8300,10.8853,4.6255,10.8853,15.3132
10.9542,5.0856,10.9542,11.2831,10.9542,3.9038,10.9542,17.9982,,,,,10.9542,3.6829,10.9542,6.6442,10.9542,19.7974
11.0231,6.8298,11.0231,12.9615,11.0231,1.6407,11.0231,20.1436,,,,,11.0231,4.3890,11.0231,9.8200,11.0231,20.6455
11.0920,10.9626,11.0920,11.6531,11.0920,0.7763,11.0920,19.1434,,,,,11.0920,5.5329,11.0920,10.3223,11.0920,21.2411
11.1609,13.0595,11.1609,9.7697,11.1609,0.5538,11.1609,19.7209,,,,,11.1609,4.3171,11.1609,11.6021,11.1609,25.7057
11.2298,14.3000,11.2298,7.5660,11.2298,0.6447,11.2298,15.9686,,,,,11.2298,1.5615,11.2298,8.6885,11.2298,25.6805
11.2987,21.3163,11.2987,6.9788,11.2987,1.0532,11.2987,11.4707,,,,,11.2987,1.0837,11.2987,4.7699,11.2987,25.8850
11.3676,29.9691,11.3676,4.9661,11.3676,0.5120,11.3676,12.1310,,,,,11.3676,1.4356,11.3676,3.3344,11.3676,25.1467
11.4365,35.3291,11.4365,5.4363,11.4365,0.7364,11.4365,16.6924,,,,,11.4365,1.9207,11.4365,1.0199,11.4365,20.2613
11.5054,31.2436,11.5054,4.4849,11.5054,0.3644,11.5054,19.2820,,,,,11.5054,0.9757,11.5054,1.6064,11.5054,18.4416
11.5743,23.8078,11.5743,7.3989,11.5743,0.4723,11.5743,10.8536,,,,,11.5743,2.0106,11.5743,2.6317,11.5743,21.2130
11.6432,16.8678,11.6432,14.0334,11.6432,0.1857,11.6432,5.9945,,,,,11.6432,4.8968,11.6432,2.0578,11.6432,23.5492
11.7121,10.4089,11.7121,19.5438,11.7121,0.7542,11.7121,3.4509,,,,,11.7121,3.6101,11.7121,2.3116,11.7121,31.6222
