Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4
18.1881,10.4245,18.1881,21.3398,18.1881,18.7718,18.1881,12.9040,18.1881,3.521
18.2570,8.1502,18.2570,20.5593,18.2570,16.6037,18.2570,12.0003,18.2570,2.860
18.3259,8.1123,18.3259,19.8999,18.3259,14.1341,18.3259,9.9091,18.3259,3.658
18.3948,7.6588,18.3948,21.9572,18.3948,13.2451,18.3948,6.5017,18.3948,3.737
18.4637,6.5689,18.4637,25.2182,18.4637,14.0411,18.4637,7.8045,18.4637,3.692
18.5326,6.6080,18.5326,24.2563,18.5326,11.5728,18.5326,9.1818,18.5326,2.903
18.6015,8.4678,18.6015,24.2847,18.6015,10.9862,18.6015,10.6107,18.6015,2.873
18.6704,7.0890,18.6704,23.1429,18.6704,8.7211,18.6704,12.2136,18.6704,3.485
18.7393,5.9404,18.7393,22.4005,18.7393,6.8501,18.7393,11.3097,18.7393,4.030
18.8082,8.3839,18.8082,18.2023,18.8082,3.8040,18.8082,8.3669,18.8082,7.488
18.8771,10.7473,18.8771,13.7321,18.8771,2.8390,18.8771,6.7171,18.8771,10.518
18.9460,16.3579,18.9460,10.1234,18.9460,3.9562,18.9460,5.3815,18.9460,10.903
19.0149,18.7476,19.0149,7.8249,19.0149,5.4016,19.0149,7.1724,19.0149,13.525
19.0838,16.6076,19.0838,6.6925,19.0838,8.1645,19.0838,8.6494,19.0838,12.157
19.1527,15.5583,19.1527,6.6211,19.1527,9.8038,19.1527,8.7491,19.1527,10.820
19.2216,12.8001,19.2216,8.0596,19.2216,9.8884,19.2216,8.4384,19.2216,10.538
