,position (um),Ecad intensity,Abi intensity
698,48.0884,7.3654,1.5685
699,48.1573,6.4903,1.6216
700,48.2261,5.3493,2.3108
701,48.295,4.4469,2.3246
702,48.3639,5.3152,2.1281
703,48.4328,4.7773,1.8254
704,48.5017,5.0838,1.918
705,48.5706,6.4643,2.4664
706,48.6395,8.1137,1.9315
707,48.7084,7.894,2.0793
708,48.7773,7.313,1.9437
709,48.8462,6.2967,1.1902
710,48.9151,6.4942,1.158
711,48.984,5.8615,1.243
712,49.0529,5.1635,1.1676
713,49.1218,5.3441,1.306
714,49.1907,5.3494,1.2731
715,49.2596,6.8621,0.9496
716,49.3285,6.4383,1.5401
717,49.3974,6.2137,1.2122
718,49.4662,7.0986,1.4533
719,49.5351,6.2717,1.3391
720,49.604,8.3957,1.9898
721,49.6729,10.8507,2.7512
722,49.7418,10.952,2.8181
723,49.8107,9.4507,3.1395
724,49.8796,8.4895,2.7905
725,49.9485,10.3291,2.5295
726,50.0174,10.3592,2.5197
727,50.0863,8.4446,1.5431
728,50.1552,6.8225,2.4301
729,50.2241,7.3506,2.1989
730,50.293,7.8635,1.9139
731,50.3619,9.0902,1.2938
732,50.4308,11.8733,2.2031
733,50.4997,11.3612,2.4591
734,50.5686,11.996,2.649
735,50.6375,11.2061,2.8497
736,50.7063,11.348,3.1093
737,50.7752,13.8053,3.2142
738,50.8441,14.0523,3.6873
739,50.913,12.5098,3.6747
740,50.9819,13.0764,3.7585
741,51.0508,15.8254,2.5278
742,51.1197,12.8335,3.6613
743,51.1886,12.9773,2.5334
744,51.2575,13.6725,3.1298
745,51.3264,11.4632,3.8094
746,51.3953,10.3336,3.2726
747,51.4642,11.3838,4.149
748,51.5331,11.633,4.1828
749,51.602,12.8014,4.2405
750,51.6709,11.7753,3.7564
751,51.7398,12.8526,3.4101
752,51.8087,12.4723,3.0574
753,51.8776,14.0487,2.8945
754,51.9464,13.7977,3.2754
755,52.0153,13.8391,3.917
756,52.0842,15.3152,5.3983
757,52.1531,13.1029,6.5623
758,52.222,13.5815,8.0131
759,52.2909,13.6019,7.8032
760,52.3598,16.0872,8.3379
761,52.4287,18.1105,8.3993
762,52.4976,19.7932,7.1467
763,52.5665,18.0251,5.0611
764,52.6354,14.7334,6.3826
765,52.7043,14.3708,5.7725
766,52.7732,13.7129,6.3601
767,52.8421,11.2084,4.6521
768,52.911,10.3015,3.4244
769,52.9799,9.679,2.7731
770,53.0488,10.8316,2.3896
771,53.1177,10.5831,2.6975
772,53.1866,8.4902,2.2722
773,53.2554,9.5585,3.1339
774,53.3243,11.9608,3.6008
775,53.3932,14.9248,3.5739
776,53.4621,13.3811,2.9269
777,53.531,8.2535,1.9275
778,53.5999,7.7134,1.3384
779,53.6688,5.9306,1.4738
780,53.7377,7.6082,1.4396
781,53.8066,7.6368,1.4496
782,53.8755,9.8411,1.744
783,53.9444,10.6187,2.3544
784,54.0133,8.7418,1.0163
785,54.0822,7.2519,1.0547
786,54.1511,6.0775,0.9777
787,54.22,4.8598,1.0821
788,54.2889,4.719,1.2361
789,54.3578,4.2738,1.666
790,54.4267,4.8779,1.3186
791,54.4955,6.5949,1.955
792,54.5644,7.0139,1.8952
793,54.6333,6.5614,2.619
794,54.7022,6.7548,1.6737
795,54.7711,7.4156,2.181
796,54.84,8.9802,2.727
797,54.9089,8.4402,3.2004
798,54.9778,9.4079,3.105
799,55.0467,9.1884,2.5474
800,55.1156,10.767,2.9577
801,55.1845,8.2254,2.8958
802,55.2534,8.4142,3.1349
803,55.3223,10.2735,2.8422
804,55.3912,9.5182,2.364
805,55.4601,7.1904,2.2513
806,55.529,7.3592,2.377
807,55.5979,8.2554,1.873
808,55.6668,8.42,2.8948
809,55.7356,9.5466,2.1997
810,55.8045,11.1706,2.3269
811,55.8734,9.3916,2.0942
812,55.9423,7.4174,1.3839
813,56.0112,5.6764,2.4184
814,56.0801,6.6347,2.5323
815,56.149,7.5795,3.1952
816,56.2179,8.9087,2.7559
817,56.2868,9.7631,2.3183
818,56.3557,13.1092,1.8758
819,56.4246,12.3863,1.4243
820,56.4935,10.7869,1.2296
821,56.5624,12.6128,1.1296
822,56.6313,14.8344,2.2729
823,56.7002,14.9798,1.6581
824,56.7691,14.2354,1.7634
825,56.838,12.8468,2.0668
826,56.9069,10.494,2.6598
827,56.9757,12.5706,3.3278
828,57.0446,10.9902,2.2361
